Date,Open,High,Low,Close,Adj Close,Volume,Day
2021-05-05,29.59,30.469999,29.52,30.379999,29.222795,1372600,535
2021-05-06,30.35,30.49,29.872,30.34,29.242069,1523300,536
2021-05-07,30.33,30.73,30.040001,30.129999,29.039669,926700,537
2021-05-10,30.15,30.469999,29.790001,29.870001,28.789078,1290900,538
2021-05-11,29.629999,29.84,28.799999,29.639999,28.567402,986800,539
2021-05-12,29.549999,29.709999,27.59,27.610001,26.610863,1616500,540
2021-05-13,27.75,28.75,27.309999,27.82,26.813263,1192000,541
2021-05-14,28.030001,29.219999,27.83,29.07,28.018026,1481800,542
2021-05-17,29.1,29.379999,28.59,29.35,28.287897,1038100,543
2021-05-18,29.719999,29.76,28.32,28.34,27.314445,903000,544
2021-05-19,27.84,27.882999,26.969999,27.360001,26.369909,1621100,545
2021-05-20,27.360001,27.469999,26.17,27.24,26.254251,2202500,546
2021-05-21,27.4,27.6,26.969999,27.360001,26.369909,1583100,547
2021-05-24,27.459999,27.780001,27.1,27.530001,26.533758,898600,548
2021-05-25,27.389999,27.75,27.08,27.09,26.10968,1137400,549
2021-05-26,27.52,27.719999,27.030001,27.200001,26.2157,1441000,550
2021-05-27,27.459999,27.6,27.120001,27.290001,26.302443,1204300,551
2021-05-28,27.290001,27.290001,25.92,26.76,25.79162,2341400,552
2021-06-01,26.92,27.629999,26.92,27.51,26.514482,2904700,553
2021-06-02,27.379999,27.575001,26.74,26.959999,25.984383,2022400,554
2021-06-03,26.790001,26.809999,26.219999,26.469999,25.512117,1449300,555
2021-06-04,26.57,26.610001,25.674999,26.08,25.136229,1570100,556
2021-06-07,26.23,26.799999,26.16,26.43,25.473566,1133000,557
2021-06-08,26.389999,27.389999,26.18,27.209999,26.225336,1747900,558
2021-06-09,27.209999,27.35,26.51,26.76,25.79162,1341300,559
2021-06-10,26.940001,27.200001,26.59,26.6,25.637411,866600,560
2021-06-11,26.700001,27.33,26.68,27.25,26.263891,1013600,561
2021-06-14,27.299999,27.424999,26.709999,26.76,25.79162,1209800,562
2021-06-15,26.73,26.889999,26.15,26.65,25.685602,762600,563
2021-06-16,26.629999,26.92,26.02,26.85,25.878366,918500,564
2021-06-17,26.709999,26.889999,25.84,26.23,25.280802,1294900,565
2021-06-18,25.719999,26,24.42,24.58,23.69051,3754800,566
2021-06-21,24.84,25.42,24.76,24.959999,24.056757,2307700,567
2021-06-22,24.84,25.799999,24.26,25.73,24.798895,2184200,568
